DOL Year,CFEC Fishery Code,Mgt Area District,Gear Name,Species Code,Whole Weight (sum)
2015,B06B,CSEO,Longline,145,55359.361
2015,B06B,EYKT,Longline,145,41583.8161
2015,B06B,NSEO,Longline,145,23085.12
2015,B06B,SSEO,Longline,145,16462.5294
2015,B25B,CSEO,Dinglebar troll,145,36
2015,B61B,CSEO,Longline,145,125
2015,B61B,EYKT,Longline,145,678
2015,B61B,NSEO,Longline,145,708.4694
2015,C06B,CSEO,Longline,145,961.1
2015,C06B,EYKT,Longline,145,492.09
2015,C06B,NSEO,Longline,145,704.51
2015,C06B,SSEO,Longline,145,1480.0224
2015,C61B,CSEO,Longline,145,300
2015,C61B,NSEO,Longline,145,1129.1225
2015,I25B,CSEO,Dinglebar troll,145,3802
2015,I25B,EYKT,Dinglebar troll,145,5461.2449
2015,I25B,NSEO,Dinglebar troll,145,744.3878
2015,I25B,SSEO,Dinglebar troll,145,11
2015,I26B,CSEO,Mechanical jigs,145,129
2015,I26B,EYKT,Mechanical jigs,145,873
2015,M05B,CSEO,Hand troll,145,128
2015,M05G,SSEO,Hand troll,145,97
2015,M25B,SSEO,Dinglebar troll,145,428.4092
2015,M26G,NSEO,Mechanical jigs,145,24
2015,Y06A,EYKT,Longline,145,24716
2015,Y61A,EYKT,Longline,145,47175
2016,B06B,CSEO,Longline,145,61816.0766
2016,B06B,EYKT,Longline,145,41751.5498
2016,B06B,NSEO,Longline,145,25378.5727
2016,B06B,SSEO,Longline,145,16652.7262
2016,B61B,CSEO,Longline,145,945.6
2016,B61B,EYKT,Longline,145,7212
2016,B61B,NSEO,Longline,145,423.3
2016,C06B,CSEO,Longline,145,801.25
2016,C06B,EYKT,Longline,145,1188
2016,C06B,NSEO,Longline,145,518
2016,C06B,SSEO,Longline,145,1651.5133
2016,C61B,CSEO,Longline,145,5.95
2016,C61B,EYKT,Longline,145,1.05
2016,I05B,CSEO,Hand troll,145,87.1224
2016,I25B,CSEO,Dinglebar troll,145,2580.32
2016,I25B,EYKT,Dinglebar troll,145,5790.7272
2016,I25B,NSEO,Dinglebar troll,145,331.68
2016,I25B,SSEO,Dinglebar troll,145,1457.2829
2016,I26B,CSEO,Mechanical jigs,145,728.44
2016,I26B,NSEO,Mechanical jigs,145,41.56
2016,M05B,CSEO,Hand troll,145,168.0816
2016,M05G,CSEO,Hand troll,145,245
2016,M05G,NSEO,Hand troll,145,137
2016,M26B,CSEO,Mechanical jigs,145,19
2016,Y06A,EYKT,Longline,145,55363
2016,Y61A,EYKT,Longline,145,19006
2017,B06B,CSEO,Longline,145,71026.3031
2017,B06B,EYKT,Longline,145,49482.6963
2017,B06B,NSEO,Longline,145,19661.59
2017,B06B,SSEO,Longline,145,28370.8402
2017,B61B,CSEO,Longline,145,2408.5
2017,B61B,EYKT,Longline,145,8630.3469
2017,B61B,NSEO,Longline,145,2224.5
2017,C06B,CSEO,Longline,145,2767.7449
2017,C06B,EYKT,Longline,145,4143
2017,C06B,NSEO,Longline,145,546
2017,C06B,SSEO,Longline,145,197.8673
2017,C61B,CSEO,Longline,145,468
2017,C61B,EYKT,Longline,145,208
2017,C61B,NSEO,Longline,145,988
2017,I05B,CSEO,Hand troll,145,307.1429
2017,I05B,NSEO,Hand troll,145,44.3182
2017,I25B,CSEO,Dinglebar troll,145,5061.8667
2017,I25B,EYKT,Dinglebar troll,145,5207.1632
2017,I25B,NSEO,Dinglebar troll,145,1760.5655
2017,I25B,SSEO,Dinglebar troll,145,527.6
2017,I26B,CSEO,Mechanical jigs,145,193.8775
2017,I26B,EYKT,Mechanical jigs,145,1342
2017,M05B,CSEO,Hand troll,145,563.3468
2017,M05G,CSEO,Hand troll,145,55.1019
2017,M05G,NSEO,Hand troll,145,87.7551
2017,M25B,NSEO,Dinglebar troll,145,5
2017,Y06A,EYKT,Longline,145,45074
2017,Y61A,EYKT,Longline,145,25089
2018,B06B,CSEO,Longline,145,55275.8789
2018,B06B,EYKT,Longline,145,49779.19
2018,B06B,NSEO,Longline,145,21985.5842
2018,B06B,SSEO,Longline,145,22894.4015
2018,B09B,CSEO,Pot,145,12
2018,B61B,CSEO,Longline,145,283
2018,B61B,EYKT,Longline,145,6696.4449
2018,B61B,NSEO,Longline,145,448.3
2018,C06B,CSEO,Longline,145,1604
2018,C06B,EYKT,Longline,145,992.4816
2018,C06B,NSEO,Longline,145,1241.2364
2018,C06B,SSEO,Longline,145,2264.4898
2018,C09B,CSEO,Pot,145,146
2018,C09B,EYKT,Pot,145,30
2018,C61B,CSEO,Longline,145,1.8
2018,C61B,EYKT,Longline,145,10.3
2018,C61B,NSEO,Longline,145,0.3
2018,C61B,SSEO,Longline,145,3.6
2018,I05B,CSEO,Hand troll,145,387.9693
2018,I25B,CSEO,Dinglebar troll,145,6021.2408
2018,I25B,EYKT,Dinglebar troll,145,4461.3461
2018,I25B,NSEO,Dinglebar troll,145,931.171
2018,I25B,SSEO,Dinglebar troll,145,1849.8841
2018,I26B,CSEO,Mechanical jigs,145,167.0408
2018,I26B,EYKT,Mechanical jigs,145,718.3673
2018,M05B,CSEO,Hand troll,145,15
2018,M05G,CSEO,Hand troll,145,5
2018,M25G,NSEO,Dinglebar troll,145,66.3266
2018,M26G,CSEO,Mechanical jigs,145,27
2018,Y06A,CSEO,Longline,145,90800.9471
2018,Y61A,CSEO,Longline,145,14735
2019,B06B,CSEO,Longline,145,64613.6583
2019,B06B,EYKT,Longline,145,51694.3014
2019,B06B,NSEO,Longline,145,24387.0064
2019,B06B,SSEO,Longline,145,24497.4847
2019,B61B,CSEO,Longline,145,239
2019,B61B,EYKT,Longline,145,3513.6408
2019,B61B,NSEO,Longline,145,116.4
2019,B61B,SSEO,Longline,145,181
2019,C06B,CSEO,Longline,145,2440.8
2019,C06B,EYKT,Longline,145,3866.4102
2019,C06B,NSEO,Longline,145,1014.4636
2019,C06B,SSEO,Longline,145,1457.098
2019,C61B,EYKT,Longline,145,372.2
2019,C61B,NSEO,Longline,145,279.8
2019,I05B,CSEO,Hand troll,145,196
2019,I05B,NSEO,Hand troll,145,143.8776
2019,I25B,CSEO,Dinglebar troll,145,8538.9051
2019,I25B,EYKT,Dinglebar troll,145,7810.4774
2019,I25B,NSEO,Dinglebar troll,145,3435.8712
2019,I25B,SSEO,Dinglebar troll,145,2823.6101
2019,I26B,CSEO,Mechanical jigs,145,920.1633
2019,M05G,CSEO,Hand troll,145,10
2019,M05G,NSEO,Hand troll,145,32.6531
2019,M25G,CSEO,Dinglebar troll,145,9.1837
2019,M26G,CSEO,Mechanical jigs,145,165.3061
2019,M26G,NSEO,Mechanical jigs,145,610.1632
2019,Y06A,SSEO,Longline,145,97027.7145
2020,B06B,CSEO,Longline,145,64950.5719
2020,B06B,EYKT,Longline,145,50164.8788
2020,B06B,NSEO,Longline,145,29866.8922
2020,B06B,SSEO,Longline,145,31361.4504
2020,B25B,SSEO,Dinglebar troll,145,7
2020,B61B,CSEO,Longline,145,448
2020,B61B,EYKT,Longline,145,5720.5673
2020,C06B,CSEO,Longline,145,702.6
2020,C06B,EYKT,Longline,145,1869.8
2020,C06B,NSEO,Longline,145,3148.2
2020,C06B,SSEO,Longline,145,4772.4694
2020,C09B,EYKT,Pot,145,819.98
2020,C09B,NSEO,Pot,145,1139.02
2020,C09B,SSEO,Pot,145,10.0408
2020,C61B,SSEO,Longline,145,14
2020,I05B,CSEO,Hand troll,145,128
2020,I05B,NSEO,Hand troll,145,808.2588
2020,I25B,CSEO,Dinglebar troll,145,7418.1499
2020,I25B,EYKT,Dinglebar troll,145,8020.2924
2020,I25B,NSEO,Dinglebar troll,145,870.72
2020,I25B,SSEO,Dinglebar troll,145,3404.0233
2020,I26B,CSEO,Mechanical jigs,145,322
2020,M05G,CSEO,Hand troll,145,121.7551
2020,M05G,NSEO,Hand troll,145,1268.3136
2020,M26G,CSEO,Mechanical jigs,145,750
2020,M26G,NSEO,Mechanical jigs,145,143.8776
2021,B06B,CSEO,Longline,145,54488.9866
2021,B06B,EYKT,Longline,145,82978.0183
2021,B06B,NSEO,Longline,145,36307.9986
2021,B06B,SSEO,Longline,145,17340.3606
2021,B25B,SSEO,Dinglebar troll,145,21
2021,B61B,CSEO,Longline,145,1598
2021,B61B,EYKT,Longline,145,3997.449
2021,C06B,CSEO,Longline,145,586.75
2021,C06B,EYKT,Longline,145,2668.1838
2021,C06B,NSEO,Longline,145,3046.5
2021,C06B,SSEO,Longline,145,37
2021,C09B,CSEO,Pot,145,50
2021,C09B,EYKT,Pot,145,7
2021,C09B,SSEO,Pot,145,7.1429
2021,C50B,CSEO,Longline,145,378.66
2021,C50B,CSEO,Pot,145,158.25
2021,C50B,EYKT,Longline,145,3730.9727
2021,C50B,EYKT,Pot,145,271
2021,C50B,NSEO,Longline,145,232.65
2021,C50B,NSEO,Pot,145,1181.75
2021,C50B,SSEO,Longline,145,1109
2021,C51B,EYKT,Longline,145,142
2021,C61B,CSEO,Longline,145,295
2021,C61B,NSEO,Longline,145,58
2021,I05B,CSEO,Hand troll,145,483.2
2021,I05B,NSEO,Hand troll,145,112
2021,I25B,CSEO,Dinglebar troll,145,2313.159
2021,I25B,EYKT,Dinglebar troll,145,3325.9315
2021,I25B,NSEO,Dinglebar troll,145,429.0576
2021,I25B,SSEO,Dinglebar troll,145,3066.6277
2021,M05B,CSEO,Hand troll,145,6.4
2021,M26G,CSEO,Mechanical jigs,145,625.5101
2021,M26G,NSEO,Mechanical jigs,145,357.1428
2022,B06B,CSEO,Longline,145,80194.4531
2022,B06B,EYKT,Longline,145,135523.9738
2022,B06B,NSEO,Longline,145,29685.3582
2022,B06B,SSEO,Longline,145,45452.0324
2022,B61B,CSEO,Longline,145,755.48
2022,B61B,EYKT,Longline,145,15635.2915
2022,B61B,NSEO,Longline,145,2984.52
2022,C06B,CSEO,Longline,145,1283
2022,C06B,EYKT,Longline,145,3129.7
2022,C06B,NSEO,Longline,145,663.3
2022,C09B,CSEO,Pot,145,68
2022,C50B,CSEO,Longline,145,462.74
2022,C50B,CSEO,Pot,145,618.2
2022,C50B,EYKT,Longline,145,5142.9135
2022,C50B,EYKT,Pot,145,572.19
2022,C50B,NSEO,Longline,145,86.76
2022,C50B,NSEO,Pot,145,159.46
2022,C50B,SSEO,Longline,145,2316.26
2022,C50B,SSEO,Pot,145,8
2022,C51B,EYKT,Longline,145,914
2022,C51B,NSEO,Pot,145,41.8
2022,C51B,SSEO,Pot,145,4.2
2022,C61B,SSEO,Longline,145,661
2022,C91B,CSEO,Pot,145,79
2022,C91B,NSEO,Pot,145,7
2022,I25B,CSEO,Dinglebar troll,145,2116.3407
2022,I25B,EYKT,Dinglebar troll,145,4621.7651
2022,I25B,NSEO,Dinglebar troll,145,354.1392
2022,I25B,SSEO,Dinglebar troll,145,3009.3496
2022,I26B,CSEO,Mechanical jigs,145,67
2023,B06B,CSEO,Longline,145,70510.0429
2023,B06B,EYKT,Longline,145,183507.1706
2023,B06B,NSEO,Longline,145,32596.3205
2023,B06B,SSEO,Longline,145,42391.1382
2023,B25B,CSEO,Dinglebar troll,145,50
2023,B61B,CSEO,Longline,145,7328.1
2023,B61B,EYKT,Longline,145,14255.6256
2023,B61B,NSEO,Longline,145,1607.5
2023,B61B,SSEO,Longline,145,1007.4
2023,C06B,CSEO,Longline,145,475
2023,C06B,EYKT,Longline,145,1931
2023,C06B,NSEO,Longline,145,7861.2
2023,C09B,CSEO,Pot,145,200
2023,C09B,EYKT,Pot,145,486
2023,C09B,NSEO,Pot,145,836
2023,C50B,CSEO,Longline,145,1843
2023,C50B,CSEO,Pot,145,684
2023,C50B,EYKT,Longline,145,6392
2023,C50B,EYKT,Pot,145,1707.75
2023,C50B,NSEO,Longline,145,67
2023,C50B,NSEO,Pot,145,543
2023,C50B,SSEO,Longline,145,238.2653
2023,C51B,CSEO,Longline,145,5.1
2023,C51B,EYKT,Pot,145,6509
2023,C51B,SSEO,Longline,145,532.9
2023,C51B,SSEO,Pot,145,227.2245
2023,I25B,CSEO,Dinglebar troll,145,3722.1963
2023,I25B,EYKT,Dinglebar troll,145,5003.8184
2023,I25B,NSEO,Dinglebar troll,145,695.5909
2023,I25B,SSEO,Dinglebar troll,145,4433.2398
2023,I26B,CSEO,Mechanical jigs,145,150
2024,B06B,CSEO,Longline,145,19073.6
2024,B06B,EYKT,Longline,145,25228.351
2024,B06B,NSEO,Longline,145,5012.32
2024,B06B,SSEO,Longline,145,5588.241
2024,B61B,EYKT,Longline,145,4077
2024,B61B,NSEO,Longline,145,437
2024,C06B,CSEO,Longline,145,200
2024,C06B,SSEO,Longline,145,228.6939
2024,C50B,CSEO,Longline,145,92.1
2024,C50B,CSEO,Pot,145,132
2024,C50B,EYKT,Longline,145,398
2024,C50B,EYKT,Pot,145,28
2024,C50B,NSEO,Longline,145,136
2024,C50B,SSEO,Longline,145,1623.6755
2024,C51B,NSEO,Pot,145,22
2024,I25B,CSEO,Dinglebar troll,145,3239.0252
2024,I25B,EYKT,Dinglebar troll,145,4145.1197
2024,I25B,NSEO,Dinglebar troll,145,647.71
2024,I25B,SSEO,Dinglebar troll,145,2438.9946
2024,I26B,CSEO,Mechanical jigs,145,110
