Row number,Year,Stlkey,Station,Setno,IPHC Species Code,Scientific Name,Species Name,SampleType,HooksFished,HooksRetrieved,HooksObserved,Number Observed
1,2023,20230169,4029,5,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,3
2,2023,20230180,4041,16,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,1
3,2023,20230232,4026,21,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,1
4,2023,20230236,4019,25,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,8
5,2023,20230237,4018,26,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,3
6,2023,20230238,4012,27,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,10
7,2023,20230240,4027,29,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,10
8,2023,20230282,4004,37,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,6
9,2023,20230285,4005,40,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,1
10,2023,20230294,4011,49,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,2
11,2023,20230295,4010,50,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,2
12,2023,20230359,3064,54,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
13,2023,20230361,3053,56,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
14,2023,20230362,3050,57,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,8
15,2023,20230364,3044,59,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,8
16,2023,20230365,3043,60,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,16
17,2023,20230366,3046,61,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,1
18,2023,20230368,3049,63,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,22
19,2023,20230369,3051,64,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,3
20,2023,20230373,3058,68,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,13
21,2023,20230374,3063,69,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,2
22,2023,20230378,4235,4,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,1
23,2023,20230381,4237,7,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,8
24,2023,20230384,4238,10,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,8
25,2023,20230385,4233,11,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,5
26,2023,20230387,4228,13,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,8
27,2023,20230388,4227,14,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,1
28,2023,20230390,4220,16,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,1
29,2023,20230434,3031,58,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,8
30,2023,20230436,3207,60,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,2
31,2023,20230439,3032,63,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,3
32,2023,20230440,3209,64,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,4
33,2023,20230444,3039,68,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,1
34,2023,20230445,3040,69,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,1
35,2023,20230446,3042,70,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
36,2023,20230447,3221,71,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,3
37,2023,20230452,4320,53,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,1
38,2023,20230462,4309,63,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,2
39,2023,20230464,4303,65,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,2
40,2023,20230468,4289,69,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,3
41,2023,20230495,4286,96,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,3
42,2023,20230496,4291,97,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,1
43,2023,20230505,4199,28,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,582,582,120,3
44,2023,20230506,4198,29,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,582,582,120,6
45,2023,20230508,4197,31,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,15
46,2023,20230509,4195,32,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,10
47,2023,20230511,4196,34,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,9
48,2023,20230512,4201,35,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,3
49,2023,20230513,4200,36,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,1
50,2023,20230514,4207,37,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,4
51,2023,20230515,4208,38,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,3
52,2023,20230519,4215,42,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,2
53,2023,20230591,3205,82,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,7
54,2023,20230593,3222,71,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,1
55,2023,20230594,3219,72,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,3
56,2023,20230601,3066,79,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
57,2023,20230602,3067,80,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,7
58,2023,20230603,3062,81,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,25
59,2023,20230608,3079,86,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,11
60,2023,20230609,3078,87,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,22
61,2023,20230612,3073,90,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,1
62,2023,20230613,3072,91,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,11
63,2023,20230614,3077,92,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,2
64,2023,20230616,3055,94,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,9
65,2023,20230617,3214,95,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,7
66,2023,20230618,3216,96,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,26
67,2023,20230619,3059,97,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,5
68,2023,20230620,3060,98,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,23
69,2023,20230621,3212,99,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,6
70,2023,20230623,3211,101,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,7
71,2023,20230628,4146,52,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,119,2
72,2023,20230630,4540,54,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,2
73,2023,20230631,4539,55,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,2
74,2023,20230635,4135,59,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,1
75,2023,20230636,4137,60,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,594,594,120,9
76,2023,20230641,4145,65,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,606,606,120,7
77,2023,20230645,3015,83,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,4
78,2023,20230646,3016,84,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,17
79,2023,20230647,3023,85,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,2
80,2023,20230648,3034,86,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,14
81,2023,20230649,3029,87,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,26
82,2023,20230651,3025,89,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,17
83,2023,20230652,3026,90,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,1
84,2023,20230653,3019,91,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
85,2023,20230662,3014,100,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
86,2023,20230698,4117,75,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,2
87,2023,20230700,4115,77,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,10
88,2023,20230701,4108,78,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,600,600,120,4
89,2023,20230710,4122,87,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,2
90,2023,20230713,4113,90,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,3
91,2023,20230715,4524,92,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,588,588,120,1
92,2023,20230794,4106,98,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,576,576,120,8
93,2023,20230911,3227,127,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,1
94,2023,20230915,3099,131,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,1
95,2023,20230957,3110,150,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,5
96,2023,20230958,3108,151,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,808,777,160,2
97,2023,20230961,3226,154,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,1
98,2023,20230964,3106,157,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,808,808,160,15
99,2023,20230965,3103,158,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,6
100,2023,20230966,3102,159,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784,784,160,3
101,2023,20230967,3097,160,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,13
102,2023,20230968,3098,161,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,1
103,2023,20230969,3092,162,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,14
104,2023,20230971,3225,164,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,9
105,2023,20230972,3086,165,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,29
106,2023,20230973,3087,166,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,808,808,160,1
107,2023,20230974,3085,167,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800,800,160,4
108,2023,20230975,3083,168,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,808,808,160,8
109,2023,20230976,3084,169,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792,792,160,36
