"","Year","Mgt.Area","HA.lbs","HA.mt"
"1",1975,"CSEO",280711,127.32770249
"2",1975,"EYKT",378684,171.76727556
"3",1975,"NSEI",1524313,691.41313367
"4",1975,"NSEO",351474,159.42509166
"5",1975,"SSEI",441725,200.36204275
"6",1975,"SSEO",406932,184.58028588
"7",1976,"CSEO",288488,130.85527192
"8",1976,"EYKT",493838,223.99997842
"9",1976,"NSEI",1266378,574.41639702
"10",1976,"NSEO",205143,93.05081337
"11",1976,"SSEI",441170,200.1103003
"12",1976,"SSEO",317725,144.11688275
"13",1977,"CSEO",217374,98.59867266
"14",1977,"EYKT",348934,158.27297306
"15",1977,"NSEI",636510,288.7145709
"16",1977,"NSEO",104791,47.53214969
"17",1977,"SSEI",265457,120.40864063
"18",1977,"SSEO",151359,68.65492881
"19",1978,"CSEO",407768,184.95948712
"20",1978,"EYKT",266509,120.88581731
"21",1978,"NSEI",997875,452.62612125
"22",1978,"NSEO",182366,82.71939394
"23",1978,"SSEI",234452,106.34508268
"24",1978,"SSEO",143671,65.16772889
"25",1979,"CSEO",685165,310.78399235
"26",1979,"EYKT",912881,414.07369279
"27",1979,"NSEI",1432027,649.55312693
"28",1979,"NSEO",415623,188.52243657
"29",1979,"SSEI",315559,143.13440681
"30",1979,"SSEO",261083,118.42463797
"31",1980,"CSEO",296972,134.70352948
"32",1980,"EYKT",877124,397.85467516
"33",1980,"NSEI",1236565,560.89351835
"34",1980,"NSEO",377290,171.1349711
"35",1980,"SSEI",301914,136.94517126
"36",1980,"SSEO",125060,56.7259654
"37",1981,"CSEO",323264,146.62931776
"38",1981,"EYKT",876337,397.49769983
"39",1981,"NSEI",1419756,643.98712404
"40",1981,"NSEO",391697,177.66984223
"41",1981,"SSEI",389252,176.56081468
"42",1981,"SSEO",121742,55.22095378
"43",1982,"CSEO",361491,163.96870269
"44",1982,"EYKT",644415,292.30019985
"45",1982,"NSEI",1161987,527.06568333
"46",1982,"NSEO",383582,173.98895938
"47",1982,"SSEI",264838,120.12786842
"48",1982,"SSEO",150559,68.29205681
"49",1983,"CSEO",777184,352.52289056
"50",1983,"EYKT",740861,336.04714099
"51",1983,"NSEI",2142236,971.69682724
"52",1983,"NSEO",254224,115.31346416
"53",1983,"SSEI",453759,205.82054481
"54",1983,"SSEO",290961,131.97699999
"55",1984,"CSEO",847481,384.40890679
"56",1984,"EYKT",790173,358.41457107
"57",1984,"NSEI",1766144,801.10525696
"58",1984,"NSEO",595391,270.06340369
"59",1984,"SSEI",376927,170.97031793
"60",1984,"SSEO",421402,191.14373318
"61",1985,"CSEO",1541073,699.01530207
"62",1985,"EYKT",672299,304.94810341
"63",1985,"NSEI",3239378,1469.34946702
"64",1985,"NSEO",573967,260.34569153
"65",1985,"SSEI",669712,303.77466608
"66",1985,"SSEO",451089,204.60945951
"67",1986,"CSEO",1479526,671.09819834
"68",1986,"EYKT",1255976,569.69815384
"69",1986,"NSEI",4298024,1949.54070616
"70",1986,"NSEO",1170006,530.70302154
"71",1986,"SSEI",760641,345.01915119
"72",1986,"SSEO",754030,342.0204677
"73",1987,"CSEO",1780128,807.44825952
"74",1987,"EYKT",570741,258.88241019
"75",1987,"NSEI",4443872,2015.69590048
"76",1987,"NSEO",868197,393.80547723
"77",1987,"SSEI",899651,408.07269709
"78",1987,"SSEO",856345,388.42952855
"79",1988,"CSEO",2186032,991.56225488
"80",1988,"EYKT",1158944,525.68540896
"81",1988,"NSEI",4059670,1841.4257153
"82",1988,"NSEO",1192104,540.72645336
"83",1988,"SSEI",1043929,473.51575511
"84",1988,"SSEO",867217,393.36095903
"85",1989,"CSEO",1982001,899.01583359
"86",1989,"EYKT",1239947,562.42755973
"87",1989,"NSEI",2573175,1167.16644825
"88",1989,"NSEO",1123493,509.60518987
"89",1989,"SSEI",702527,318.65922193
"90",1989,"SSEO",1053750,477.9704625
"91",1990,"CSEO",2234658,1013.61852222
"92",1990,"EYKT",1438171,652.33998389
"93",1990,"NSEI",2550937,1157.07951383
"94",1990,"NSEO",1205416,546.76464344
"95",1990,"SSEI",483161,219.15699799
"96",1990,"SSEO",1461120,662.7494208
"97",1991,"CSEO",1453700,659.383783
"98",1991,"EYKT",1453573,659.32617707
"99",1991,"NSEI",2847004,1291.37254436
"100",1991,"NSEO",1116375,506.37653625
"101",1991,"SSEI",708546,321.38938014
"102",1991,"SSEO",1129646,512.39612914
"103",1992,"CSEO",1697916,770.15771844
"104",1992,"EYKT",1623368,736.34349112
"105",1992,"NSEI",3037688,1377.86489992
"106",1992,"NSEO",1076102,488.10910618
"107",1992,"SSEI",771632,350.00455888
"108",1992,"SSEO",1288686,584.53508274
"109",1993,"CSEO",2158563,979.10259117
"110",1993,"EYKT",1453410,659.2522419
"111",1993,"NSEI",3070890,1392.9249951
"112",1993,"NSEO",1159819,526.08230021
"113",1993,"SSEI",781075,354.28780925
"114",1993,"SSEO",2326748,1055.38962532
"115",1994,"CSEO",2564006,1163.00748154
"116",1994,"EYKT",1578314,715.90744726
"117",1994,"NSEI",2717861,1232.79457099
"118",1994,"NSEO",1408034,638.67014206
"119",1994,"SSEI",845869,383.67771971
"120",1994,"SSEO",1894793,859.45915687
"121",1995,"CSEO",1701696,771.87228864
"122",1995,"EYKT",919032,416.86372488
"123",1995,"NSEI",2090539,948.24758501
"124",1995,"NSEO",1481305,671.90513495
"125",1995,"SSEI",804071,364.71856489
"126",1995,"SSEO",600536,272.39712424
"127",1996,"CSEO",2266616,1028.11435144
"128",1996,"EYKT",1374141,623.29661619
"129",1996,"NSEI",3298754,1496.28182686
"130",1996,"NSEO",2468407,1119.64473113
"131",1996,"SSEI",1016139,460.91048901
"132",1996,"SSEO",1017563,461.55640117
"133",1997,"CSEO",1806858,819.57272022
"134",1997,"EYKT",2409424,1092.89063216
"135",1997,"NSEI",4615351,2093.47706009
"136",1997,"NSEO",1330168,603.35090312
"137",1997,"SSEI",1523582,691.08155938
"138",1997,"SSEO",826236,374.77238724
"139",1998,"CSEO",3436282,1558.66315238
"140",1998,"EYKT",4574224,2074.82226416
"141",1998,"NSEI",9844736,4465.47380224
"142",1998,"NSEO",2131812,966.96860508
"143",1998,"SSEI",2592502,1175.93298218
"144",1998,"SSEO",1940832,880.34198688
"145",1999,"CSEO",1433830,650.3709497
"146",1999,"EYKT",2171716,985.06866044
"147",1999,"NSEI",4810851,2182.15390509
"148",1999,"NSEO",1118780,507.4674202
"149",1999,"SSEI",1544468,700.55524012
"150",1999,"SSEO",1107441,502.32416319
"151",2000,"CSEO",1430813,649.00246867
"152",2000,"EYKT",1777745,806.36735455
"153",2000,"NSEI",3535569,1603.69874271
"154",2000,"NSEO",851421,386.19605139
"155",2000,"SSEI",1283931,582.37826229
"156",2000,"SSEO",1099006,498.49813154
"157",2001,"CSEO",1822804,826.80566636
"158",2001,"EYKT",1878118,851.89554362
"159",2001,"NSEI",3200374,1451.65764266
"160",2001,"NSEO",989188,448.68578492
"161",2001,"SSEI",1067443,484.18147037
"162",2001,"SSEO",1129302,512.24009418
"163",2002,"CSEO",1871689,848.97941351
"164",2002,"EYKT",2111626,957.81243734
"165",2002,"NSEI",3309071,1500.96151489
"166",2002,"NSEO",1167883,529.74004997
"167",2002,"SSEI",1049311,475.95697649
"168",2002,"SSEO",1240565,562.70787835
"169",2003,"CSEO",1679487,761.79850833
"170",2003,"EYKT",2308515,1047.11931885
"171",2003,"NSEI",3886832,1763.02812688
"172",2003,"NSEO",927953,420.91020127
"173",2003,"SSEI",888118,402.84144362
"174",2003,"SSEO",1052520,477.4125468
"175",2004,"CSEO",1947705,883.45951095
"176",2004,"EYKT",2590013,1174.80399667
"177",2004,"NSEI",4940236,2240.84164724
"178",2004,"NSEO",960755,435.78886045
"179",2004,"SSEI",965318,437.85859162
"180",2004,"SSEO",1484837,673.50721483
"181",2005,"CSEO",1914202,868.26288518
"182",2005,"EYKT",2599797,1179.24192123
"183",2005,"NSEI",5301743,2404.81760737
"184",2005,"NSEO",1174883,532.91517997
"185",2005,"SSEI",952458,432.02542422
"186",2005,"SSEO",1456813,660.79580867
"187",2006,"CSEO",2020718,916.57747762
"188",2006,"EYKT",2154874,977.42929766
"189",2006,"NSEI",4706959,2135.02953281
"190",2006,"NSEO",1046203,474.54721877
"191",2006,"SSEI",1415524,642.06753116
"192",2006,"SSEO",1451830,658.5355697
"193",2007,"CSEO",2005930,909.8697887
"194",2007,"EYKT",2989312,1355.92203008
"195",2007,"NSEO",1021371,463.28367189
"196",2007,"SSEO",1780234,807.49634006
"197",2008,"CSEO",1498913,679.89194767
"198",2008,"EYKT",2888453,1310.17339627
"199",2008,"NSEO",799354,362.57898086
"200",2008,"SSEO",1012905,459.44357895
"201",2009,"CSEO",1111328,504.08726752
"202",2009,"EYKT",2504744,1136.12683096
"203",2009,"NSEO",647082,293.50992438
"204",2009,"SSEO",816536,370.37256424
"205",2010,"CSEO",1002256,454.61329904
"206",2010,"EYKT",2544797,1154.29447123
"207",2010,"NSEO",583854,264.83033586
"208",2010,"SSEO",671322,304.50494598
"209",2011,"CSEO",520605,236.14122195
"210",2011,"EYKT",1988836,902.11612124
"211",2011,"NSEO",321802,145.96616918
"212",2011,"SSEO",284676,129.12618684
"213",2012,"CSEO",575177,260.89453543
"214",2012,"EYKT",1748698,793.19192582
"215",2012,"NSEO",396518,179.85659962
"216",2012,"SSEO",311308,141.20619572
"217",2013,"CSEO",619311,280.91327649
"218",2013,"EYKT",1655300,750.827527
"219",2013,"NSEO",388516,176.22697244
"220",2013,"SSEO",378936,171.88158024
"221",2014,"CSEO",743729,337.34803711
"222",2014,"EYKT",1186008,537.96136872
"223",2014,"NSEO",455057,206.40930463
"224",2014,"SSEO",360921,163.71015639
"225",2015,"CSEO",843240,382.4852316
"226",2015,"EYKT",1225517,555.88225603
"227",2015,"NSEO",464011,210.47074949
"228",2015,"SSEO",382658,173.56984222
"229",2016,"CSEO",779374,353.51625266
"230",2016,"EYKT",1258694,570.93101146
"231",2016,"NSEO",449482,203.88054038
"232",2016,"SSEO",373739,169.52427301
"233",2017,"CSEO",962404,436.53683036
"234",2017,"EYKT",1473007,668.14124513
"235",2017,"NSEO",471843,214.02326637
"236",2017,"SSEO",452325,205.17009675
"237",2018,"CSEO",762590,345.9031981
"238",2018,"EYKT",1321662,599.49266658
"239",2018,"NSEO",360260,163.4103334
"240",2018,"SSEO",423346,192.02551214
"241",2019,"CSEO",681309,309.03494931
"242",2019,"EYKT",1435585,651.16700015
"243",2019,"NSEO",463488,210.23352192
"244",2019,"SSEO",398149,180.59640491
"245",2020,"CSEO",649387,294.55544933
"246",2020,"EYKT",1226255,556.21700545
"247",2020,"NSEO",490933,222.68229947
"248",2020,"SSEO",376915,170.96487485
"249",2021,"CSEO",625173,283.57222107
"250",2021,"EYKT",1801216,817.01356544
"251",2021,"NSEO",494715,224.39777685
"252",2021,"SSEO",299018,135.63157462
"253",2022,"CSEO",418828,189.97619252
"254",2022,"EYKT",1110072,503.51755848
"255",2022,"NSEO",226981,102.95631179
"256",2022,"SSEO",318970,144.6816023
